peak_number,timestamp_ms,timestamp_utc,sources
55,1778964619528,2026-05-16T20:50:19.528000+00:00,sensor_data_20260516_225339.csv;sensor_data_20260516_225343.csv
56,1778964620713,2026-05-16T20:50:20.713000+00:00,sensor_data_20260516_225339.csv
57,1778964621863,2026-05-16T20:50:21.863000+00:00,sensor_data_20260516_225339.csv
58,1778964621986,2026-05-16T20:50:21.986000+00:00,sensor_data_20260516_225343.csv
59,1778964623006,2026-05-16T20:50:23.006000+00:00,sensor_data_20260516_225339.csv
60,1778964624137,2026-05-16T20:50:24.137000+00:00,sensor_data_20260516_225339.csv
61,1778964625301,2026-05-16T20:50:25.301000+00:00,sensor_data_20260516_225339.csv
62,1778964626461,2026-05-16T20:50:26.461000+00:00,sensor_data_20260516_225339.csv
63,1778964627629,2026-05-16T20:50:27.629000+00:00,sensor_data_20260516_225339.csv
64,1778964628810,2026-05-16T20:50:28.810000+00:00,sensor_data_20260516_225339.csv
65,1778964629999,2026-05-16T20:50:29.999000+00:00,sensor_data_20260516_225339.csv
66,1778964631185,2026-05-16T20:50:31.185000+00:00,sensor_data_20260516_225339.csv
67,1778964632354,2026-05-16T20:50:32.354000+00:00,sensor_data_20260516_225339.csv
68,1778964633472,2026-05-16T20:50:33.472000+00:00,sensor_data_20260516_225339.csv
69,1778964634662,2026-05-16T20:50:34.662000+00:00,sensor_data_20260516_225339.csv
70,1778964635848,2026-05-16T20:50:35.848000+00:00,sensor_data_20260516_225339.csv
71,1778964637035,2026-05-16T20:50:37.035000+00:00,sensor_data_20260516_225339.csv
72,1778964637206,2026-05-16T20:50:37.206000+00:00,sensor_data_20260516_225343.csv
73,1778964638257,2026-05-16T20:50:38.257000+00:00,sensor_data_20260516_225339.csv
74,1778964639441,2026-05-16T20:50:39.441000+00:00,sensor_data_20260516_225339.csv
75,1778964640622,2026-05-16T20:50:40.622000+00:00,sensor_data_20260516_225339.csv
76,1778964641791,2026-05-16T20:50:41.791000+00:00,sensor_data_20260516_225339.csv
77,1778964642943,2026-05-16T20:50:42.943000+00:00,sensor_data_20260516_225339.csv
78,1778964644123,2026-05-16T20:50:44.123000+00:00,sensor_data_20260516_225339.csv
79,1778964644270,2026-05-16T20:50:44.270000+00:00,sensor_data_20260516_225343.csv
80,1778964645309,2026-05-16T20:50:45.309000+00:00,sensor_data_20260516_225339.csv
81,1778964646496,2026-05-16T20:50:46.496000+00:00,sensor_data_20260516_225339.csv
82,1778964647660,2026-05-16T20:50:47.660000+00:00,sensor_data_20260516_225339.csv
83,1778964647800,2026-05-16T20:50:47.800000+00:00,sensor_data_20260516_225343.csv
84,1778964648845,2026-05-16T20:50:48.845000+00:00,sensor_data_20260516_225339.csv
85,1778964650020,2026-05-16T20:50:50.020000+00:00,sensor_data_20260516_225339.csv
86,1778964651215,2026-05-16T20:50:51.215000+00:00,sensor_data_20260516_225339.csv
87,1778964652405,2026-05-16T20:50:52.405000+00:00,sensor_data_20260516_225339.csv
88,1778964653566,2026-05-16T20:50:53.566000+00:00,sensor_data_20260516_225339.csv
89,1778964654749,2026-05-16T20:50:54.749000+00:00,sensor_data_20260516_225339.csv
90,1778964654897,2026-05-16T20:50:54.897000+00:00,sensor_data_20260516_225343.csv
91,1778964655932,2026-05-16T20:50:55.932000+00:00,sensor_data_20260516_225339.csv
92,1778964658264,2026-05-16T20:50:58.264000+00:00,sensor_data_20260516_225339.csv
93,1778964659414,2026-05-16T20:50:59.414000+00:00,sensor_data_20260516_225339.csv
94,1778964660541,2026-05-16T20:51:00.541000+00:00,sensor_data_20260516_225339.csv
95,1778964660671,2026-05-16T20:51:00.671000+00:00,sensor_data_20260516_225343.csv
96,1778964661686,2026-05-16T20:51:01.686000+00:00,sensor_data_20260516_225339.csv
97,1778964662833,2026-05-16T20:51:02.833000+00:00,sensor_data_20260516_225339.csv
98,1778964663999,2026-05-16T20:51:03.999000+00:00,sensor_data_20260516_225339.csv
99,1778964665104,2026-05-16T20:51:05.104000+00:00,sensor_data_20260516_225339.csv
100,1778964666311,2026-05-16T20:51:06.311000+00:00,sensor_data_20260516_225339.csv
101,1778964667478,2026-05-16T20:51:07.478000+00:00,sensor_data_20260516_225339.csv
102,1778964668662,2026-05-16T20:51:08.662000+00:00,sensor_data_20260516_225339.csv
103,1778964669808,2026-05-16T20:51:09.808000+00:00,sensor_data_20260516_225339.csv
104,1778964670996,2026-05-16T20:51:10.996000+00:00,sensor_data_20260516_225339.csv
105,1778964672217,2026-05-16T20:51:12.217000+00:00,sensor_data_20260516_225339.csv
106,1778964673420,2026-05-16T20:51:13.420000+00:00,sensor_data_20260516_225339.csv
107,1778964674582,2026-05-16T20:51:14.582000+00:00,sensor_data_20260516_225339.csv
108,1778964675773,2026-05-16T20:51:15.773000+00:00,sensor_data_20260516_225339.csv
109,1778964676953,2026-05-16T20:51:16.953000+00:00,sensor_data_20260516_225339.csv
110,1778964678143,2026-05-16T20:51:18.143000+00:00,sensor_data_20260516_225339.csv
111,1778964679313,2026-05-16T20:51:19.313000+00:00,sensor_data_20260516_225339.csv
112,1778964680488,2026-05-16T20:51:20.488000+00:00,sensor_data_20260516_225339.csv
113,1778964681676,2026-05-16T20:51:21.676000+00:00,sensor_data_20260516_225339.csv
114,1778964682865,2026-05-16T20:51:22.865000+00:00,sensor_data_20260516_225339.csv
115,1778964684049,2026-05-16T20:51:24.049000+00:00,sensor_data_20260516_225339.csv
116,1778964685253,2026-05-16T20:51:25.253000+00:00,sensor_data_20260516_225339.csv
117,1778964686420,2026-05-16T20:51:26.420000+00:00,sensor_data_20260516_225339.csv
118,1778964687562,2026-05-16T20:51:27.562000+00:00,sensor_data_20260516_225339.csv
119,1778964688726,2026-05-16T20:51:28.726000+00:00,sensor_data_20260516_225339.csv
120,1778964689935,2026-05-16T20:51:29.935000+00:00,sensor_data_20260516_225339.csv
121,1778964691160,2026-05-16T20:51:31.160000+00:00,sensor_data_20260516_225339.csv
122,1778964692342,2026-05-16T20:51:32.342000+00:00,sensor_data_20260516_225339.csv
123,1778964693509,2026-05-16T20:51:33.509000+00:00,sensor_data_20260516_225339.csv
124,1778964694676,2026-05-16T20:51:34.676000+00:00,sensor_data_20260516_225339.csv
125,1778964695862,2026-05-16T20:51:35.862000+00:00,sensor_data_20260516_225339.csv
126,1778964697041,2026-05-16T20:51:37.041000+00:00,sensor_data_20260516_225339.csv
127,1778964698231,2026-05-16T20:51:38.231000+00:00,sensor_data_20260516_225339.csv
128,1778964699450,2026-05-16T20:51:39.450000+00:00,sensor_data_20260516_225339.csv
129,1778964700616,2026-05-16T20:51:40.616000+00:00,sensor_data_20260516_225339.csv
130,1778964701787,2026-05-16T20:51:41.787000+00:00,sensor_data_20260516_225339.csv
131,1778964702894,2026-05-16T20:51:42.894000+00:00,sensor_data_20260516_225339.csv
132,1778964704098,2026-05-16T20:51:44.098000+00:00,sensor_data_20260516_225339.csv
133,1778964705239,2026-05-16T20:51:45.239000+00:00,sensor_data_20260516_225339.csv
134,1778964706436,2026-05-16T20:51:46.436000+00:00,sensor_data_20260516_225339.csv
135,1778964707597,2026-05-16T20:51:47.597000+00:00,sensor_data_20260516_225339.csv
136,1778964708761,2026-05-16T20:51:48.761000+00:00,sensor_data_20260516_225339.csv
137,1778964709926,2026-05-16T20:51:49.926000+00:00,sensor_data_20260516_225339.csv
138,1778964711088,2026-05-16T20:51:51.088000+00:00,sensor_data_20260516_225339.csv
139,1778964712196,2026-05-16T20:51:52.196000+00:00,sensor_data_20260516_225339.csv
140,1778964713405,2026-05-16T20:51:53.405000+00:00,sensor_data_20260516_225339.csv
141,1778964714569,2026-05-16T20:51:54.569000+00:00,sensor_data_20260516_225339.csv
142,1778964715718,2026-05-16T20:51:55.718000+00:00,sensor_data_20260516_225339.csv
143,1778964716901,2026-05-16T20:51:56.901000+00:00,sensor_data_20260516_225339.csv
144,1778964718060,2026-05-16T20:51:58.060000+00:00,sensor_data_20260516_225339.csv
145,1778964719189,2026-05-16T20:51:59.189000+00:00,sensor_data_20260516_225339.csv
146,1778964720346,2026-05-16T20:52:00.346000+00:00,sensor_data_20260516_225339.csv
147,1778964721488,2026-05-16T20:52:01.488000+00:00,sensor_data_20260516_225339.csv
148,1778964722651,2026-05-16T20:52:02.651000+00:00,sensor_data_20260516_225339.csv
149,1778964723818,2026-05-16T20:52:03.818000+00:00,sensor_data_20260516_225339.csv
150,1778964724983,2026-05-16T20:52:04.983000+00:00,sensor_data_20260516_225339.csv
151,1778964726170,2026-05-16T20:52:06.170000+00:00,sensor_data_20260516_225339.csv
152,1778964727336,2026-05-16T20:52:07.336000+00:00,sensor_data_20260516_225339.csv
153,1778964729704,2026-05-16T20:52:09.704000+00:00,sensor_data_20260516_225339.csv
154,1778964730831,2026-05-16T20:52:10.831000+00:00,sensor_data_20260516_225339.csv
155,1778964732012,2026-05-16T20:52:12.012000+00:00,sensor_data_20260516_225339.csv
156,1778964733162,2026-05-16T20:52:13.162000+00:00,sensor_data_20260516_225339.csv
157,1778964734308,2026-05-16T20:52:14.308000+00:00,sensor_data_20260516_225339.csv
158,1778964735494,2026-05-16T20:52:15.494000+00:00,sensor_data_20260516_225339.csv
159,1778964736652,2026-05-16T20:52:16.652000+00:00,sensor_data_20260516_225339.csv
160,1778964737825,2026-05-16T20:52:17.825000+00:00,sensor_data_20260516_225339.csv
161,1778964739005,2026-05-16T20:52:19.005000+00:00,sensor_data_20260516_225339.csv
162,1778964740234,2026-05-16T20:52:20.234000+00:00,sensor_data_20260516_225339.csv
163,1778964741477,2026-05-16T20:52:21.477000+00:00,sensor_data_20260516_225339.csv
164,1778964742720,2026-05-16T20:52:22.720000+00:00,sensor_data_20260516_225339.csv
165,1778964743965,2026-05-16T20:52:23.965000+00:00,sensor_data_20260516_225339.csv
166,1778964745226,2026-05-16T20:52:25.226000+00:00,sensor_data_20260516_225339.csv
167,1778964746489,2026-05-16T20:52:26.489000+00:00,sensor_data_20260516_225339.csv
168,1778964747752,2026-05-16T20:52:27.752000+00:00,sensor_data_20260516_225339.csv
169,1778964749015,2026-05-16T20:52:29.015000+00:00,sensor_data_20260516_225339.csv
170,1778964750258,2026-05-16T20:52:30.258000+00:00,sensor_data_20260516_225339.csv
171,1778964751502,2026-05-16T20:52:31.502000+00:00,sensor_data_20260516_225339.csv
172,1778964752784,2026-05-16T20:52:32.784000+00:00,sensor_data_20260516_225339.csv
173,1778964754042,2026-05-16T20:52:34.042000+00:00,sensor_data_20260516_225339.csv
174,1778964755290,2026-05-16T20:52:35.290000+00:00,sensor_data_20260516_225339.csv
175,1778964756475,2026-05-16T20:52:36.475000+00:00,sensor_data_20260516_225339.csv
176,1778964757728,2026-05-16T20:52:37.728000+00:00,sensor_data_20260516_225339.csv
177,1778964758942,2026-05-16T20:52:38.942000+00:00,sensor_data_20260516_225339.csv
178,1778964760186,2026-05-16T20:52:40.186000+00:00,sensor_data_20260516_225339.csv
179,1778964761449,2026-05-16T20:52:41.449000+00:00,sensor_data_20260516_225339.csv
180,1778964762692,2026-05-16T20:52:42.692000+00:00,sensor_data_20260516_225339.csv
181,1778964763936,2026-05-16T20:52:43.936000+00:00,sensor_data_20260516_225339.csv
182,1778964765140,2026-05-16T20:52:45.140000+00:00,sensor_data_20260516_225339.csv
183,1778964766383,2026-05-16T20:52:46.383000+00:00,sensor_data_20260516_225339.csv
184,1778964767626,2026-05-16T20:52:47.626000+00:00,sensor_data_20260516_225339.csv
185,1778964768889,2026-05-16T20:52:48.889000+00:00,sensor_data_20260516_225339.csv
186,1778964770133,2026-05-16T20:52:50.133000+00:00,sensor_data_20260516_225339.csv
187,1778964771395,2026-05-16T20:52:51.395000+00:00,sensor_data_20260516_225339.csv
188,1778964772653,2026-05-16T20:52:52.653000+00:00,sensor_data_20260516_225339.csv
189,1778964773896,2026-05-16T20:52:53.896000+00:00,sensor_data_20260516_225339.csv
190,1778964775164,2026-05-16T20:52:55.164000+00:00,sensor_data_20260516_225339.csv
191,1778964776320,2026-05-16T20:52:56.320000+00:00,sensor_data_20260516_225339.csv
192,1778964777610,2026-05-16T20:52:57.610000+00:00,sensor_data_20260516_225339.csv
193,1778964778874,2026-05-16T20:52:58.874000+00:00,sensor_data_20260516_225339.csv
194,1778964780101,2026-05-16T20:53:00.101000+00:00,sensor_data_20260516_225339.csv
195,1778964781303,2026-05-16T20:53:01.303000+00:00,sensor_data_20260516_225339.csv
196,1778964782566,2026-05-16T20:53:02.566000+00:00,sensor_data_20260516_225339.csv
197,1778964783809,2026-05-16T20:53:03.809000+00:00,sensor_data_20260516_225339.csv
198,1778964785034,2026-05-16T20:53:05.034000+00:00,sensor_data_20260516_225339.csv
199,1778964786218,2026-05-16T20:53:06.218000+00:00,sensor_data_20260516_225339.csv
200,1778964787459,2026-05-16T20:53:07.459000+00:00,sensor_data_20260516_225339.csv
201,1778964788686,2026-05-16T20:53:08.686000+00:00,sensor_data_20260516_225339.csv
202,1778964789911,2026-05-16T20:53:09.911000+00:00,sensor_data_20260516_225339.csv
203,1778964791096,2026-05-16T20:53:11.096000+00:00,sensor_data_20260516_225339.csv
204,1778964792302,2026-05-16T20:53:12.302000+00:00,sensor_data_20260516_225339.csv
205,1778964793545,2026-05-16T20:53:13.545000+00:00,sensor_data_20260516_225339.csv
206,1778964794827,2026-05-16T20:53:14.827000+00:00,sensor_data_20260516_225339.csv
207,1778964796068,2026-05-16T20:53:16.068000+00:00,sensor_data_20260516_225339.csv
208,1778964797287,2026-05-16T20:53:17.287000+00:00,sensor_data_20260516_225339.csv
209,1778964798529,2026-05-16T20:53:18.529000+00:00,sensor_data_20260516_225339.csv
210,1778964799759,2026-05-16T20:53:19.759000+00:00,sensor_data_20260516_225339.csv
211,1778964800983,2026-05-16T20:53:20.983000+00:00,sensor_data_20260516_225339.csv
212,1778964802228,2026-05-16T20:53:22.228000+00:00,sensor_data_20260516_225339.csv
213,1778964803505,2026-05-16T20:53:23.505000+00:00,sensor_data_20260516_225339.csv
214,1778964805004,2026-05-16T20:53:25.004000+00:00,sensor_data_20260516_225339.csv
215,1778964806326,2026-05-16T20:53:26.326000+00:00,sensor_data_20260516_225339.csv
216,1778964807622,2026-05-16T20:53:27.622000+00:00,sensor_data_20260516_225339.csv
217,1778964807802,2026-05-16T20:53:27.802000+00:00,sensor_data_20260516_225339.csv
218,1778964808933,2026-05-16T20:53:28.933000+00:00,sensor_data_20260516_225339.csv
219,1778964809550,2026-05-16T20:53:29.550000+00:00,sensor_data_20260516_225339.csv
220,1778964810055,2026-05-16T20:53:30.055000+00:00,sensor_data_20260516_225339.csv
221,1778964810755,2026-05-16T20:53:30.755000+00:00,sensor_data_20260516_225339.csv
222,1778964811507,2026-05-16T20:53:31.507000+00:00,sensor_data_20260516_225339.csv
223,1778964811649,2026-05-16T20:53:31.649000+00:00,sensor_data_20260516_225339.csv
224,1778964812951,2026-05-16T20:53:32.951000+00:00,sensor_data_20260516_225339.csv
225,1778964813125,2026-05-16T20:53:33.125000+00:00,sensor_data_20260516_225339.csv
226,1778964813475,2026-05-16T20:53:33.475000+00:00,sensor_data_20260516_225339.csv
227,1778964814427,2026-05-16T20:53:34.427000+00:00,sensor_data_20260516_225339.csv
228,1778964822287,2026-05-16T20:53:42.287000+00:00,sensor_data_20260516_225343.csv
